name;iny-runtime;iny-parsing;iny-relation
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00122321; 0.0001
automata/b-armc-incl-easiest/aut2.mata;2.83; 0.0929586; 2.7389
automata/b-armc-incl-easy/aut1.mata;TO;TO;TO
automata/b-armc-incl-easy/aut2.mata;17.87; 0.262485; 17.6176
automata/b-armc-incl-hard/aut1.mata;TO;TO;TO
automata/b-armc-incl-hard/aut2.mata;TO;TO;TO
automata/b-armc-incl-medium-hard/aut1.mata;TO;TO;TO
automata/b-armc-incl-medium-hard/aut2.mata;TO;TO;TO
automata/b-armc-incl-medium/aut1.mata;TO;TO;TO
automata/b-armc-incl-medium/aut2.mata;54.61; 0.207185; 54.3967
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000528202; 0.0006
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00107594; 0.0010
automata/b-hand-made-easy/aut1.mata;TO;TO;TO
automata/b-param-easiest/aut0.mata;0.0; 0.00304482; 0.0007
automata/b-param-easiest/aut1.mata;0.0; 0.00305284; 0.0007
automata/b-param-easy/aut0.mata;TO;TO;TO
automata/b-param-easy/aut1.mata;TO;TO;TO
automata/b-param-harder/aut0.mata;1.38; 0.0315603; 1.3522
automata/b-param-harder/aut1.mata;1.37; 0.0317853; 1.3425
automata/b-param-harder/aut10.mata;1.36; 0.0318765; 1.3332
automata/b-param-harder/aut11.mata;1.36; 0.0314568; 1.3353
automata/b-param-harder/aut12.mata;1.37; 0.0380104; 1.3385
automata/b-param-harder/aut13.mata;1.38; 0.0316509; 1.3478
automata/b-param-harder/aut14.mata;1.36; 0.0316701; 1.3350
automata/b-param-harder/aut15.mata;1.36; 0.0315704; 1.3356
automata/b-param-harder/aut16.mata;1.37; 0.0315239; 1.3362
automata/b-param-harder/aut17.mata;1.38; 0.0315815; 1.3519
automata/b-param-harder/aut2.mata;1.36; 0.0316114; 1.3362
automata/b-param-harder/aut3.mata;1.37; 0.0315678; 1.3406
automata/b-param-harder/aut4.mata;1.38; 0.031888; 1.3461
automata/b-param-harder/aut5.mata;1.38; 0.0414448; 1.3461
automata/b-param-harder/aut6.mata;1.38; 0.0316849; 1.3466
automata/b-param-harder/aut7.mata;1.37; 0.0319287; 1.3431
automata/b-param-harder/aut8.mata;1.38; 0.0408885; 1.3437
automata/b-param-harder/aut9.mata;1.38; 0.0415846; 1.3441
automata/b-param-hardest/aut1.mata;TO;TO;TO
automata/b-param-hardest/aut2.mata;TO;TO;TO
automata/b-param-medium/aut0.mata;1.12; 0.034097; 1.0866
automata/b-param-medium/aut1.mata;1.14; 0.0421313; 1.1053
automata/b-param-medium/aut10.mata;1.1; 0.0300139; 1.0744
automata/b-param-medium/aut11.mata;1.11; 0.035462; 1.0785
automata/b-param-medium/aut12.mata;1.12; 0.0379087; 1.0817
automata/b-param-medium/aut13.mata;1.13; 0.0409714; 1.0913
automata/b-param-medium/aut14.mata;1.11; 0.0350257; 1.0853
automata/b-param-medium/aut15.mata;1.12; 0.0372623; 1.0885
automata/b-param-medium/aut16.mata;1.11; 0.0298254; 1.0830
automata/b-param-medium/aut2.mata;1.11; 0.0301615; 1.0818
automata/b-param-medium/aut3.mata;1.11; 0.0300759; 1.0812
automata/b-param-medium/aut4.mata;1.14; 0.0302293; 1.1117
automata/b-param-medium/aut5.mata;1.12; 0.0366069; 1.0816
automata/b-param-medium/aut6.mata;1.11; 0.0300354; 1.0808
automata/b-param-medium/aut7.mata;1.12; 0.0409272; 1.0863
automata/b-param-medium/aut8.mata;1.11; 0.0371705; 1.0804
automata/b-param-medium/aut9.mata;1.11; 0.0303593; 1.0930
automata/b-regex-easiest/aut21.mata;0.01; 0.00982301; 0.0002
automata/b-regex-easiest/aut26.mata;0.01; 0.0138588; 0.0026
automata/b-regex-easiest/aut27.mata;0.01; 0.0136195; 0.0012
automata/b-regex-easiest/aut35.mata;0.04; 0.0247255; 0.0155
automata/b-regex-easiest/aut51.mata;0.0; 0.00557973; 0.0008
automata/b-regex-easy/aut26.mata;0.02; 0.0197096; 0.0040
automata/b-regex-easy/aut40.mata;0.0; 0.00395541; 0.0005
automata/b-regex-easy/aut61.mata;0.04; 0.0404902; 0.0013
