name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00123091; 0.0001
automata/b-armc-incl-easiest/aut2.mata;0.1; 0.0939458; 0.0046
automata/b-armc-incl-easy/aut1.mata;2.22; 1.85926; 0.3774
automata/b-armc-incl-easy/aut2.mata;0.27; 0.262225; 0.0129
automata/b-armc-incl-hard/aut1.mata;0.27; 0.263051; 0.0101
automata/b-armc-incl-hard/aut2.mata;0.2; 0.19539; 0.0084
automata/b-armc-incl-medium-hard/aut1.mata;0.2; 0.19535; 0.0083
automata/b-armc-incl-medium-hard/aut2.mata;0.23; 0.227277; 0.0091
automata/b-armc-incl-medium/aut1.mata;0.27; 0.262898; 0.0103
automata/b-armc-incl-medium/aut2.mata;0.21; 0.208275; 0.0081
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000515651; 0.0002
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00106908; 0.0002
automata/b-hand-made-easy/aut1.mata;1.81; 0.146189; 1.6853
automata/b-param-easiest/aut0.mata;0.0; 0.00301839; 0.0002
automata/b-param-easiest/aut1.mata;0.0; 0.00302065; 0.0002
automata/b-param-easy/aut0.mata;0.39; 0.139415; 0.2724
automata/b-param-easy/aut1.mata;0.4; 0.139474; 0.2714
automata/b-param-harder/aut0.mata;0.03; 0.0315562; 0.0016
automata/b-param-harder/aut1.mata;0.03; 0.0313472; 0.0016
automata/b-param-harder/aut10.mata;0.03; 0.0314459; 0.0015
automata/b-param-harder/aut11.mata;0.03; 0.0314087; 0.0015
automata/b-param-harder/aut12.mata;0.03; 0.0313909; 0.0015
automata/b-param-harder/aut13.mata;0.03; 0.0315185; 0.0015
automata/b-param-harder/aut14.mata;0.03; 0.0313503; 0.0015
automata/b-param-harder/aut15.mata;0.03; 0.0315739; 0.0015
automata/b-param-harder/aut16.mata;0.03; 0.0315522; 0.0015
automata/b-param-harder/aut17.mata;0.03; 0.0318894; 0.0015
