name;iny-runtime;iny-parsing;iny-relation
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00119567; 0.0001
automata/b-armc-incl-easiest/aut2.mata;0.16; 0.0909793; 0.0725
automata/b-armc-incl-easy/aut1.mata;29.0; 1.76993; 27.2867
automata/b-armc-incl-easy/aut2.mata;0.46; 0.256668; 0.2022
automata/b-armc-incl-hard/aut1.mata;0.5; 0.254979; 0.2577
automata/b-armc-incl-hard/aut2.mata;0.4; 0.190226; 0.2194
automata/b-armc-incl-medium-hard/aut1.mata;0.4; 0.190269; 0.2182
automata/b-armc-incl-medium-hard/aut2.mata;0.45; 0.221206; 0.2284
automata/b-armc-incl-medium/aut1.mata;0.51; 0.255082; 0.2577
automata/b-armc-incl-medium/aut2.mata;0.41; 0.204208; 0.2065
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000524082; 0.0004
automata/b-hand-made-easiest/aut2.mata;0.0; 0.0010448; 0.0007
automata/b-hand-made-easy/aut1.mata;13.91; 0.142442; 13.7786
automata/b-param-easiest/aut0.mata;0.0; 0.00299636; 0.0005
automata/b-param-easiest/aut1.mata;0.0; 0.00296325; 0.0005
automata/b-param-easy/aut0.mata;0.8; 0.136577; 0.6885
automata/b-param-easy/aut1.mata;0.82; 0.137068; 0.6950
automata/b-param-harder/aut0.mata;0.07; 0.0307802; 0.0381
automata/b-param-harder/aut1.mata;0.06; 0.0307621; 0.0377
automata/b-param-harder/aut10.mata;0.06; 0.0308056; 0.0379
automata/b-param-harder/aut11.mata;0.06; 0.0308244; 0.0372
automata/b-param-harder/aut12.mata;0.07; 0.0308166; 0.0374
automata/b-param-harder/aut13.mata;0.07; 0.0309111; 0.0379
automata/b-param-harder/aut14.mata;0.07; 0.0307948; 0.0378
automata/b-param-harder/aut15.mata;0.07; 0.0307883; 0.0376
automata/b-param-harder/aut16.mata;0.07; 0.0309326; 0.0376
automata/b-param-harder/aut17.mata;0.07; 0.0308829; 0.0381
automata/b-param-harder/aut2.mata;0.06; 0.0308556; 0.0376
automata/b-param-harder/aut3.mata;0.06; 0.0309033; 0.0377
automata/b-param-harder/aut4.mata;0.06; 0.0307337; 0.0377
automata/b-param-harder/aut5.mata;0.07; 0.0307855; 0.0384
automata/b-param-harder/aut6.mata;0.07; 0.0308548; 0.0375
automata/b-param-harder/aut7.mata;0.07; 0.0307671; 0.0378
automata/b-param-harder/aut8.mata;0.06; 0.0309534; 0.0376
automata/b-param-harder/aut9.mata;0.07; 0.0310172; 0.0379
automata/b-param-hardest/aut1.mata;15.14; 1.14257; 14.0285
automata/b-param-hardest/aut2.mata;15.38; 1.15189; 14.2429
automata/b-param-medium/aut0.mata;0.06; 0.0291398; 0.0335
automata/b-param-medium/aut1.mata;0.05; 0.0290417; 0.0339
automata/b-param-medium/aut10.mata;0.06; 0.0292266; 0.0336
automata/b-param-medium/aut11.mata;0.06; 0.0289923; 0.0335
automata/b-param-medium/aut12.mata;0.06; 0.0290204; 0.0338
automata/b-param-medium/aut13.mata;0.05; 0.028968; 0.0343
automata/b-param-medium/aut14.mata;0.06; 0.0294365; 0.0336
automata/b-param-medium/aut15.mata;0.06; 0.0289563; 0.0335
automata/b-param-medium/aut16.mata;0.06; 0.0290834; 0.0338
automata/b-param-medium/aut2.mata;0.06; 0.0289708; 0.0338
automata/b-param-medium/aut3.mata;0.06; 0.0290746; 0.0340
automata/b-param-medium/aut4.mata;0.06; 0.0290222; 0.0336
automata/b-param-medium/aut5.mata;0.06; 0.0289385; 0.0335
automata/b-param-medium/aut6.mata;0.06; 0.0290971; 0.0337
automata/b-param-medium/aut7.mata;0.06; 0.0292065; 0.0339
automata/b-param-medium/aut8.mata;0.06; 0.029077; 0.0357
automata/b-param-medium/aut9.mata;0.06; 0.0294424; 0.0335
automata/b-regex-easiest/aut21.mata;0.01; 0.0093994; 0.0002
automata/b-regex-easiest/aut26.mata;0.01; 0.0134031; 0.0017
automata/b-regex-easiest/aut27.mata;0.01; 0.00925957; 0.0006
automata/b-regex-easiest/aut35.mata;0.02; 0.024029; 0.0042
automata/b-regex-easiest/aut51.mata;0.0; 0.00457827; 0.0006
automata/b-regex-easy/aut26.mata;0.01; 0.0134382; 0.0017
automata/b-regex-easy/aut40.mata;0.0; 0.00383094; 0.0004
automata/b-regex-easy/aut61.mata;0.02; 0.0319196; 0.0009
automata/b-regex-easy/aut69.mata;2.25; 1.39668; 0.8842
automata/b-regex-easy/aut7.mata;2.24; 1.41332; 0.8380
automata/b-smt-easiest/aut1.mata;0.0; 0.000662242; 0.0000
automata/b-smt-easiest/aut2.mata;0.0; 0.000799362; 0.0000
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;26.69; 1.4949; 25.2123
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;24.22; 1.39325; 22.8476
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;27.54; 1.51615; 26.0916
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;24.17; 1.40617; 22.8024
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;27.02; 1.49806; 25.5380
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;22.21; 1.30107; 20.9287
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;26.63; 1.47981; 25.1736
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;23.43; 1.35577; 22.0932
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata;26.57; 1.49776; 25.0933
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;24.39; 1.41162; 23.0226
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata;3.77; 1.71207; 2.0606
automata/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;0.27; 0.224013; 0.0498
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata;0.39; 0.197721; 0.2025
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;0.43; 0.217188; 0.2267
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata;0.5; 0.25111; 0.2556
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;0.44; 0.218505; 0.2261
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata;0.5; 0.250026; 0.2536
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;0.45; 0.219658; 0.2270
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata;0.49; 0.249799; 0.2584
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;0.4; 0.186291; 0.2166
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata;0.49; 0.250088; 0.2525
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;0.39; 0.195706; 0.2030
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata;0.5; 0.251168; 0.2580
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.44; 0.22266; 0.2273
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata;23.88; 1.53221; 22.3892
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;23.5; 1.52516; 21.9840
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata;23.71; 1.53631; 22.1912
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;23.58; 1.51088; 22.1125
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata;23.43; 1.51637; 21.9670
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;21.4; 1.41742; 19.9807
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;23.29; 1.5104; 21.7930
