name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/b-armc-incl-easiest/aut1.mata;0.0; 0.00120767; 0.0001
automata/b-armc-incl-easiest/aut2.mata;0.09; 0.0910361; 0.0044
automata/b-armc-incl-easy/aut1.mata;2.13; 1.76245; 0.3639
automata/b-armc-incl-easy/aut2.mata;0.28; 0.267092; 0.0121
automata/b-armc-incl-hard/aut1.mata;0.28; 0.26911; 0.0099
automata/b-armc-incl-hard/aut2.mata;0.2; 0.191432; 0.0083
automata/b-armc-incl-medium-hard/aut1.mata;0.19; 0.191756; 0.0082
automata/b-armc-incl-medium-hard/aut2.mata;0.23; 0.223564; 0.0088
automata/b-armc-incl-medium/aut1.mata;0.26; 0.255706; 0.0099
automata/b-armc-incl-medium/aut2.mata;0.21; 0.206865; 0.0081
automata/b-hand-made-easiest/aut1.mata;0.0; 0.000490472; 0.0002
automata/b-hand-made-easiest/aut2.mata;0.0; 0.00103985; 0.0002
automata/b-hand-made-easy/aut1.mata;1.8; 0.144584; 1.6630
automata/b-param-easiest/aut0.mata;0.0; 0.00298965; 0.0002
automata/b-param-easiest/aut1.mata;0.0; 0.00294011; 0.0002
automata/b-param-easy/aut0.mata;0.39; 0.136493; 0.2691
automata/b-param-easy/aut1.mata;0.4; 0.136355; 0.2690
automata/b-param-harder/aut0.mata;0.03; 0.0310207; 0.0015
automata/b-param-harder/aut1.mata;0.03; 0.0309352; 0.0015
automata/b-param-harder/aut10.mata;0.03; 0.0308573; 0.0015
automata/b-param-harder/aut11.mata;0.03; 0.0308633; 0.0015
automata/b-param-harder/aut12.mata;0.03; 0.0310272; 0.0015
automata/b-param-harder/aut13.mata;0.03; 0.0314665; 0.0015
automata/b-param-harder/aut14.mata;0.03; 0.0310134; 0.0015
automata/b-param-harder/aut15.mata;0.03; 0.0309689; 0.0015
automata/b-param-harder/aut16.mata;0.03; 0.0308998; 0.0015
automata/b-param-harder/aut17.mata;0.03; 0.0310407; 0.0015
automata/b-param-harder/aut2.mata;0.03; 0.0309006; 0.0015
automata/b-param-harder/aut3.mata;0.03; 0.0310059; 0.0015
automata/b-param-harder/aut4.mata;0.03; 0.0310226; 0.0015
automata/b-param-harder/aut5.mata;0.03; 0.0310414; 0.0015
automata/b-param-harder/aut6.mata;0.03; 0.0309357; 0.0015
automata/b-param-harder/aut7.mata;0.03; 0.0310267; 0.0015
automata/b-param-harder/aut8.mata;0.03; 0.0309289; 0.0015
automata/b-param-harder/aut9.mata;0.03; 0.0310112; 0.0015
automata/b-param-hardest/aut1.mata;4.23; 1.14514; 3.0745
automata/b-param-hardest/aut2.mata;4.18; 1.13909; 3.0720
automata/b-param-medium/aut0.mata;0.03; 0.0292615; 0.0014
automata/b-param-medium/aut1.mata;0.02; 0.0292239; 0.0014
automata/b-param-medium/aut10.mata;0.03; 0.0291853; 0.0014
automata/b-param-medium/aut11.mata;0.03; 0.0292477; 0.0014
automata/b-param-medium/aut12.mata;0.03; 0.0291099; 0.0014
automata/b-param-medium/aut13.mata;0.03; 0.0293018; 0.0014
automata/b-param-medium/aut14.mata;0.02; 0.0296645; 0.0014
automata/b-param-medium/aut15.mata;0.03; 0.0291979; 0.0014
automata/b-param-medium/aut16.mata;0.03; 0.0305669; 0.0014
automata/b-param-medium/aut2.mata;0.03; 0.0292328; 0.0014
automata/b-param-medium/aut3.mata;0.02; 0.0294854; 0.0014
automata/b-param-medium/aut4.mata;0.02; 0.0292266; 0.0014
automata/b-param-medium/aut5.mata;0.02; 0.0294547; 0.0014
automata/b-param-medium/aut6.mata;0.03; 0.0291085; 0.0014
automata/b-param-medium/aut7.mata;0.03; 0.0294866; 0.0014
automata/b-param-medium/aut8.mata;0.03; 0.0292012; 0.0014
automata/b-param-medium/aut9.mata;0.02; 0.0295319; 0.0014
automata/b-regex-easiest/aut21.mata;0.01; 0.00943488; 0.0001
automata/b-regex-easiest/aut26.mata;0.01; 0.0134854; 0.0003
automata/b-regex-easiest/aut27.mata;0.01; 0.00934592; 0.0002
automata/b-regex-easiest/aut35.mata;0.02; 0.0248149; 0.0005
